County,Year,pdsi,1_priv_0_pub,med_income,"irrig, crop surface (thousand acres)","irrig, crop tot (thousands acre)",avg_rainfall
Kern,2015,-2.71,1,51150,293.27,813.42,0.4633333333333333
Kern,2016,-2.11,1,49812,NA,NA,0.7675000000000001
Kings,2008,-2.96,1,48614,NA,NA,0.43083333333333335
Kings,2009,-3.03,1,44102,NA,NA,0.4633333333333333
Kings,2010,2.03,1,44020,505.91,558.7,1.115
Kings,2011,4.99,1,48319,NA,NA,0.5816666666666667
Kings,2012,-2.82,1,45464,NA,NA,0.4666666666666667
Kings,2013,-4.61,1,45794,NA,NA,0.1975
Kings,2014,-5.46,1,44490,NA,NA,0.5125
Kings,2015,-3.84,1,46440,316.04,457.17,0.38166666666666665
Kings,2016,-2.14,1,51320,NA,NA,0.6341666666666667
Lake,2008,-4.19,1,38926,NA,NA,2.921666666666667
Lake,2009,-2.14,1,36895,NA,NA,2.6983333333333333
Lake,2010,3.65,1,35914,1.54,16.76,5.363333333333333
Lake,2011,3.65,1,35882,NA,NA,3.1075
Lake,2012,0.27,1,35437,NA,NA,4.4925
Lake,2013,-3.33,1,36973,NA,NA,1.0291666666666666
Lake,2014,-3.45,1,36333,NA,NA,4.041666666666667
Lake,2015,-4.27,1,37993,1.44,28.48,2.1133333333333333
Lake,2016,2.56,1,40818,NA,NA,4.611666666666666
Lassen,2008,-4.1,0,47333,NA,NA,1.1258333333333332
Lassen,2009,-1.64,0,46377,NA,NA,1.355
Lassen,2010,0.49,0,50093,75.26,94.55,1.9233333333333333
Lassen,2011,1.31,0,47938,NA,NA,1.3900000000000001
Lassen,2012,-2.69,0,47480,NA,NA,1.8033333333333335
Lassen,2013,-2.68,0,50487,NA,NA,0.7125
Lassen,2014,-3.95,0,49995,NA,NA,1.6916666666666667
Lassen,2015,-1.45,0,54670,47.79,100.81,1.4358333333333333
Lassen,2016,1.3,0,49793,NA,NA,1.9691666666666667
Los Angeles,2008,-2.71,1,55452,NA,NA,1.26
Los Angeles,2009,-3.27,1,54375,NA,NA,0.8425
Los Angeles,2010,0.65,1,52595,4.61,24.89,2.154166666666667
Los Angeles,2011,1.27,1,52239,NA,NA,1.0025
Los Angeles,2012,-2.92,1,52929,NA,NA,0.7758333333333334
Los Angeles,2013,-4.09,1,54443,NA,NA,0.4125
Los Angeles,2014,-5.36,1,55686,NA,NA,0.86
Los Angeles,2015,-2.14,1,59045,0.04,19.01,0.5925
Los Angeles,2016,-3.74,1,61308,NA,NA,1.0491666666666668
Madera,2008,-3.54,0,46066,NA,NA,1.5474999999999999
Madera,2009,-0.97,0,42769,NA,NA,1.635
Madera,2010,2.77,0,43596,45.84,297.05,2.735
Madera,2011,4.15,0,44795,NA,NA,1.6708333333333334
Madera,2012,-2.69,0,42054,NA,NA,1.7291666666666667
Madera,2013,-4.02,0,41223,NA,NA,0.5533333333333333
Madera,2014,-5.45,0,43171,NA,NA,1.1633333333333333
Madera,2015,-4.06,0,46593,102.17,303.35,1.2016666666666667
Madera,2016,0.78,0,49467,NA,NA,2.006666666666667
Marin,2008,-4.05,0,89909,NA,NA,2.2533333333333334
Marin,2009,0.11,0,86658,NA,NA,2.39
Marin,2010,2.48,0,82383,0,5.64,3.979166666666667
Marin,2011,3.22,0,78470,NA,NA,2.3741666666666665
Marin,2012,0.95,0,88654,NA,NA,3.688333333333333
Marin,2013,-3.23,0,94347,NA,NA,0.7
Marin,2014,-2.99,0,94549,NA,NA,3.353333333333333
Marin,2015,-4.02,0,99868,0,9.3,1.3275
Marin,2016,1.09,0,103488,NA,NA,3.4008333333333334
Merced,2008,-3.58,1,42629,NA,NA,0.7225
Merced,2009,-2.68,1,39922,NA,NA,0.8225
Merced,2010,2.48,1,41730,450.26,613.04,1.3958333333333333
Merced,2011,3.55,1,40016,NA,NA,0.8366666666666667
Merced,2012,-3.47,1,42552,NA,NA,0.8466666666666667
Merced,2013,-4.34,1,41003,NA,NA,0.2916666666666667
Merced,2014,-6.07,1,43818,NA,NA,0.8433333333333334
Merced,2015,-4.02,1,42879,321.12,553.25,0.5816666666666667
Merced,2016,1.9,1,47442,NA,NA,1.205
Modoc,2008,-2.56,0,35319,NA,NA,1.1975
Modoc,2009,-1.83,0,34290,NA,NA,1.1691666666666667
Modoc,2010,1.01,0,34579,57.86,139.1,1.6333333333333333
Modoc,2011,0.74,0,34654,NA,NA,1.2175
Modoc,2012,-2.58,0,36724,NA,NA,1.4675
Modoc,2013,-2.03,0,37055,NA,NA,0.9008333333333334
Modoc,2014,-2.99,0,39172,NA,NA,1.5175
Modoc,2015,-2.58,0,38402,54.23,171.65,1.4041666666666666
Modoc,2016,-0.17,0,42890,NA,NA,1.5975
Mono,2008,-3.63,0,55798,NA,NA,1.1833333333333333
Mono,2009,-1.09,0,53973,NA,NA,1.1741666666666666
